year,state,population-density
1961,indiana,129.87530049108238
1961,iowa,48.97569536690988
1961,minnesota,39.91449785433693
1961,missouri,62.38972590840603
1961,nebraska,18.694776232190673
1962,illinois,177.50595499671493
1962,indiana,130.04004717246642
1962,iowa,48.869071937228654
1962,minnesota,40.409115551090956
1962,missouri,62.50449201722811
1962,nebraska,18.92749128902292
1963,illinois,179.61254317858254
1963,indiana,131.76988732699883
1963,iowa,48.81576022238804
1963,minnesota,40.61616481949962
1963,missouri,63.006593743324736
1963,nebraska,19.08263466024442
1964,illinois,182.68608987015992
1964,indiana,133.33498080014715
1964,iowa,48.797989650774504
1964,minnesota,40.92673872211262
1964,missouri,63.72388192346276
1964,nebraska,19.160206345855173
1965,illinois,184.6372740058242
1965,indiana,135.14719429537158
1965,iowa,48.726907364320354
1965,minnesota,41.31783178466232
1965,missouri,64.08252601353178
1965,nebraska,19.01799158890213
1966,illinois,187.10647162883296
1966,indiana,137.26144337313337
1966,iowa,49.08231879659111
1966,minnesota,41.605400213007684
1966,missouri,64.88588877528638
1966,nebraska,18.824062374875254
1967,illinois,189.02312153200762
1967,indiana,138.7441635055897
1967,iowa,49.63320651661078
1967,minnesota,42.0885151726279
1967,missouri,65.11542099293055
1967,nebraska,18.836990989143715
1968,illinois,189.8519431117588
1968,indiana,139.84247471481663
1968,iowa,49.810912232746155
1968,minnesota,42.594635606515745
1968,missouri,65.5314481374106
1968,nebraska,18.966277131828296
1969,illinois,190.61169622653074
1969,indiana,141.21536372635026
1969,iowa,49.846453375973226
1969,minnesota,43.22728614887556
1969,missouri,66.56434311680937
1969,nebraska,19.056777431707506
1970,illinois,191.8425826080425
1970,indiana,142.65393174819567
1970,iowa,50.20840437859776
1970,minnesota,43.78060231322344
1970,missouri,67.10407378083603
1970,nebraska,19.203297417211942
1971,illinois,193.43309121958504
1971,indiana,144.24659283269563
1971,iowa,50.67642792318351
1971,minnesota,44.32563650683498
1971,missouri,67.79469318643653
1971,nebraska,19.452444742779402
1972,illinois,194.28869409663196
1972,indiana,145.59309491742758
1972,iowa,50.82893496877089
1972,minnesota,44.51268251536794
1972,missouri,68.26833291754528
1972,nebraska,19.638733145773617
1973,illinois,194.27866190209372
1973,indiana,146.57723667645536
1973,iowa,50.88985248826209
1973,minnesota,44.737963622133705
1973,missouri,68.61069456592516
1973,nebraska,19.775181740762925
1974,illinois,194.46476688098033
1974,indiana,147.22559724104224
1974,iowa,50.95764721896774
1974,minnesota,44.905823065127464
1974,missouri,68.80127803538784
1974,nebraska,19.899606724482567
1975,illinois,194.97583898759444
1975,indiana,147.3320235972163
1975,iowa,51.19429792114522
1975,minnesota,45.23468631978322
1975,missouri,68.9788498972628
1975,nebraska,19.950364464100534
1976,illinois,195.858361298867
1976,indiana,147.97239394775607
1976,iowa,51.58942658097224
1976,minnesota,45.604671859692374
1976,missouri,69.41956610090322
1976,nebraska,20.051130083708898
1977,illinois,196.6088419722155
1977,indiana,148.97597581518716
1977,iowa,51.77585764776986
1977,minnesota,45.888605423103456
1977,missouri,69.76593021732828
1977,nebraska,20.127809694935124
1978,illinois,197.06201743806068
1978,indiana,150.19993382674963
1978,iowa,51.85575413774432
1978,minnesota,46.18741202562856
1978,missouri,70.14216221357427
1978,nebraska,20.21885299661361
1979,illinois,196.79050930222718
1979,indiana,151.05002670269127
1979,iowa,51.81434870588478
1979,minnesota,46.58972025688372
1979,missouri,70.47255949510945
1979,nebraska,20.263586001982475
1980,illinois,197.44432865883718
1980,indiana,150.76301052594005
1980,iowa,51.78376555213788
1980,minnesota,46.98887673816423
1980,missouri,70.60936069682538
1980,nebraska,20.32760849983988
1981,illinois,197.5955195286768
1981,indiana,150.48057979848733
1981,iowa,51.67652015245018
1981,minnesota,47.296126349745556
1981,missouri,70.75422421768606
1981,nebraska,20.40801155197542
1982,illinois,197.24938291643318
1982,indiana,150.13700059446094
1982,iowa,51.324769457931815
1982,minnesota,47.522983331498644
1982,missouri,70.71673873739203
1982,nebraska,20.450223477561938
1983,illinois,196.99738662195634
1983,indiana,149.65574808035794
1983,iowa,51.01118995123933
1983,minnesota,47.63807971925959
1983,missouri,70.92162493316667
1983,nebraska,20.482713085218574
1984,illinois,197.05460984519166
1984,indiana,149.87340590424648
1984,iowa,50.79927588474789
1984,minnesota,47.824999197684086
1984,missouri,71.37416204601575
1984,nebraska,20.538900842829293
1985,illinois,196.84177537035805
1985,indiana,149.89781587087154
1985,iowa,50.28510216568179
1985,minnesota,48.130925994495016
1985,missouri,71.73266267844875
1985,nebraska,20.487509601112173
1986,illinois,196.62509032860186
1986,indiana,149.7576988183544
1986,iowa,49.61490282784883
1986,minnesota,48.371448227963086
1986,missouri,72.05974608859168
1986,nebraska,20.35394408710473
1987,illinois,196.69279469139778
1987,indiana,150.27676069583507
1987,iowa,49.17136713094655
1987,minnesota,48.715656133955356
1987,missouri,72.54216542702532
1987,nebraska,20.253281896410513
1988,illinois,196.67561391073417
1988,indiana,150.79085271509393
1988,iowa,49.195837208058386
1988,minnesota,49.41766818123207
1988,missouri,72.90138334763844
1988,nebraska,20.317019964754014
1989,illinois,197.01403212201635
1989,indiana,151.6683484557058
1989,iowa,49.23500354789463
1989,minnesota,49.89952934250469
1989,missouri,73.10357253985575
1989,nebraska,20.36080918128128
1990,illinois,197.6563170449748
1990,indiana,152.53063258606983
1990,iowa,49.39808408359206
1990,minnesota,50.46576308065386
1990,missouri,73.54169216028406
1990,nebraska,20.435795144038337
1991,illinois,199.192986788066
1991,indiana,153.82018723460337
1991,iowa,49.60169929313997
1991,minnesota,50.92755196562798
1991,missouri,73.99214913741075
1991,nebraska,20.566904221334774
1992,illinois,200.9062991303417
1992,indiana,155.09936284220973
1992,iowa,49.88062618518606
1992,minnesota,51.43452360206373
1992,missouri,74.5073915829675
1992,nebraska,20.716889075463158
1993,illinois,202.47392881285984
1993,indiana,156.56330185298827
1993,iowa,50.1223415002734
1993,minnesota,52.01203002260403
1993,missouri,75.13962373070477
1993,nebraska,20.842852564280747
1994,illinois,203.83806553043286
1994,indiana,157.76213599563968
1994,iowa,50.28044627591905
1994,minnesota,52.52181982963756
1994,missouri,75.76293281348111
1994,nebraska,20.964407395632794
1995,illinois,205.21855420708968
1995,indiana,159.03049323783517
1995,iowa,50.48370607403469
1995,minnesota,52.97522321924114
1995,missouri,76.38559633689533
1995,nebraska,21.140120192155408
1996,illinois,206.39389227564186
1996,indiana,160.21362153019462
1996,iowa,50.618993435728555
1996,minnesota,53.461535939784554
1996,missouri,77.00645229409561
1996,nebraska,21.301921799725164
1997,illinois,207.4041221786611
1997,indiana,161.24224489319607
1997,iowa,50.72424853139554
1997,minnesota,53.921679933348535
1997,missouri,77.56916487141389
1997,nebraska,21.410328230366186
1998,illinois,208.41019070666536
1998,indiana,162.21004927298662
1998,iowa,50.84204965062168
1998,minnesota,54.36666331937016
1998,missouri,78.00597902735436
1998,nebraska,21.471480575855995
1999,illinois,209.42197465014664
1999,indiana,163.17886959064566
1999,iowa,50.991109205316036
1999,minnesota,54.931413204429056
1999,missouri,78.44748424799292
1999,nebraska,21.53943337245101
2000,illinois,214.70210339376536
2000,indiana,167.26911782270784
2000,iowa,52.05119488435001
2000,minnesota,56.7509621752044
2000,missouri,80.4407850633057
2000,nebraska,22.15731770556917
2001,illinois,215.63943153199898
2001,indiana,168.2546873863076
2001,iowa,52.10326265917767
2001,minnesota,57.31579257942324
2001,missouri,80.92648958160436
2001,nebraska,22.235096249008215
2002,illinois,216.28023148296037
2002,indiana,169.0291889932742
2002,iowa,52.14301542787716
2002,minnesota,57.731489996702166
2002,missouri,81.40969793703616
2002,nebraska,22.344420611262297
2003,illinois,216.80601517261502
2003,indiana,170.1459243730359
2003,iowa,52.28100391645628
2003,minnesota,58.1299103028061
2003,missouri,81.90574575089241
2003,nebraska,22.47824469755511
2004,illinois,217.38907388685377
2004,indiana,171.14453638224524
